"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"14541","ENSG00000248546.3","ANP32C","processed_pseudogene",0.449817926522256,0.0739725408539951,3.47895145072996,0.000284302244388779,0.999999999912779
"14546","ENSG00000201050.1","RNU6-668P","snRNA",0.380944080200912,0.169836608364135,2.92569531023051,0.00183380737252742,0.999999999912779
"14099","ENSG00000241651.4","AC099340.1","processed_pseudogene",0.404279512682501,1.45653165012597,2.86751551464671,0.00219843564102607,0.999999999912779
"14034","ENSG00000186867.10","QRFPR","protein_coding",0.488619750044255,-1.74530314614119,2.81461546467354,0.0025963472020915,0.999999999912779
"9189","ENSG00000232893.1","IQCA1-AS1","antisense",0.332324200837872,1.16260316392312,2.69953323952597,0.00364492244444632,0.999999999912779
"3525","ENSG00000271890.1","OR10AE1P","unprocessed_pseudogene",0.320190293983216,-1.36267220821997,2.64966094386442,0.00421621082189778,0.999999999912779
"11271","ENSG00000251447.1","AC107027.2","unprocessed_pseudogene",0.378185159596748,-1.48449477144638,2.63482991506051,0.00440474527788695,0.999999999912779
"14945","ENSG00000249966.1","AC025183.2","antisense",0.406176118522423,-1.57088069785401,2.62472393615523,0.00454011933974064,0.999999999912779
"9527","ENSG00000144596.12","GRIP2","protein_coding",0.382598050407283,1.27607453866021,2.58409327268953,0.00509585128737004,0.999999999912779
"5970","ENSG00000138050.14","THUMPD2","protein_coding",0.330997768230971,-1.06041038834299,2.51768725736936,0.00613667172512143,0.999999999912779
"11845","ENSG00000241416.1","KRT8P13","processed_pseudogene",0.333480847907833,1.47358934968596,2.5087338746247,0.00629178624327371,0.999999999912779
"15792","ENSG00000249721.1","AC112206.3","processed_pseudogene",0.350729381191646,-0.565217605618872,2.47167069365567,0.00697355789780193,0.999999999912779
"6215","ENSG00000212168.1","RF00592","snoRNA",0.315667144986971,1.12966074628185,2.45165336436004,0.00736178679580325,0.999999999912779
"7389","ENSG00000224967.1","AC009303.1","processed_pseudogene",0.649235461593516,-1.95301967458465,2.46285945503096,0.00757223680065003,0.999999999912779
"17836","ENSG00000233068.3","AL391422.2","lincRNA",0.324991053978402,1.7055083210234,2.44080477303313,0.00758376591360688,0.999999999912779
"15540","ENSG00000248464.1","FGF10-AS1","antisense",0.302032946591275,0.88958386720194,2.42881698786518,0.00783274414032331,0.999999999912779
"12780","ENSG00000250137.1","AC093607.1","antisense",0.310844412885973,0.545555583332558,2.42364529456606,0.00794387434964892,0.999999999912779
"14544","ENSG00000248162.1","AC074198.1","processed_pseudogene",0.307143444813198,0.947554717554617,2.39992458244155,0.00846830463227473,0.999999999912779
